POOL_NAME,PLATFORM,COUNT(TX_HASH)
E-GOD-WETH,uniswap-v2,15
Giggle Academy-WETH,uniswap-v2,12
LILAI-WETH,uniswap-v2,170
XI-DOV 10000 200 UNI-V3 LP,uniswap-v3,45
VIDYA-WETH 10000 200 UNI-V3 LP,uniswap-v3,4
SHADOWCATS-WETH,uniswap-v2,33
WETH-0xdac...8578,uniswap-v2,34
SHIB-WETH,verse,305
FkPauly-WETH,uniswap-v2,9
ASAP-WETH,uniswap-v2,30
0xa0a...2694-WETH,uniswap-v2,696
Kaeru-WETH,uniswap-v2,134
ENA-sENA 480 10  UNI-V4 LP,uniswap-v4,251
WETH-QANX,dodo-v2,23
WETH-vibe,uniswap-v2,5
G21-WETH 3000 60 UNI-V3 LP,uniswap-v3,1344
WETH-DUCKE,uniswap-v2,10
USDC-DGLD,uniswap-v2,23
SENDY-WETH,uniswap-v2,27
USNEIRO-WETH,uniswap-v2,65
DONI-WETH,uniswap-v2,205
WETH-DEAI,uniswap-v2,41
E-KABOSU,uniswap-v2,13
MUER-WETH,sushiswap,42
UDS-WETH,uniswap-v2,831
$TSUYU-WETH,uniswap-v2,7
Samurai-Inu-WETH,uniswap-v2,5
GMR-WETH,uniswap-v2,1
WDOGE-DOGE 3000 60 UNI-V3 LP,uniswap-v3,36
WETH-MEDA 3000 60 UNI-V3 LP,uniswap-v3,27
MMM-USDC,uniswap-v2,1
BFC-WETH,sushiswap,77
MOMO-WETH,uniswap-v2,866
STMY-WETH,uniswap-v2,2
GRACIE-WETH,uniswap-v2,83
RADAR-KABOSU,uniswap-v2,40
60GOLD-40WETH,balancer,63
TSLA6900-WETH,uniswap-v2,92
WETH-UPLOAD,uniswap-v2,102
BABYMELANIA-WETH,uniswap-v2,41
EAGLES-WETH,uniswap-v2,132
BADOG-WETH,uniswap-v2,34
Curve.fi Factory Plain Pool: pETH,curve,65
BABYBONK-WETH,uniswap-v2,11
0xafb...b7c7-WETH,uniswap-v2,9
NALA-WETH,uniswap-v2,8
WETH-ANGELS,uniswap-v2,7
DEDE2.0-WETH,uniswap-v2,7
WETH-INXT,dodo-v2,75
DIAM-WETH,uniswap-v2,27
PEGAZ-WETH,uniswap-v2,17
WETH-ClosedAI,uniswap-v2,36
WETH-PLSX,uniswap-v2,24
WETH-Skullectro,uniswap-v2,7
FROGMAN-WETH,uniswap-v2,449
ETH-MIPRAMI 100000 2000  UNI-V4 LP,uniswap-v4,102
PONG-WETH,uniswap-v2,15
WETH-0xfba...4f90,uniswap-v2,14
WETH-SOLAXY 100 1 UNI-V3 LP,uniswap-v3,61
WETH-Mooose,uniswap-v2,56
WETH-G.O.R.K,uniswap-v2,583
ETH-TOPIA 3000 60  UNI-V4 LP,uniswap-v4,626
ETH-ins 500000 10000  UNI-V4 LP,uniswap-v4,14
APU-BOYS 15000 300  UNI-V4 LP,uniswap-v4,77
ETH-TUNA 900000 18000  UNI-V4 LP,uniswap-v4,7
ETH-MUSE 10000 200  UNI-V4 LP,uniswap-v4,59
ETH-DOGEFATHER 3000 60  UNI-V4 LP,uniswap-v4,171
ETH-BYTES 0 60 0x0000fe59823933ac763611a69c88f91d45f81888 UNI-V4 LP,uniswap-v4,9
HITMAN-CRV,uniswap-v2,8
HEXA-WETH,uniswap-v2,34
WETH-KONKE,uniswap-v2,8
WETH-PEPETR,uniswap-v2,17
0xaa3...7a9a-WETH,uniswap-v2,15
USDC-XPHLO 3000 60  UNI-V4 LP,uniswap-v4,3
KOGENTA-WETH,uniswap-v2,233
BNSD-WETH,sushiswap,9
BLUR-WETH,sushiswap,153
Balancer 80 ENS 20 WETH,balancer,5
stETH-WETH,pancakeswap-v2,19
$MAGA-WETH,uniswap-v2,90
0x7bc...ad50-WETH,uniswap-v2,123
WETH-DGD,uniswap-v2,13
MNTA-WETH,uniswap-v2,35
WETH-RICE,uniswap-v2,308
WOOLIE-WETH,uniswap-v2,87
Chinshu-WETH,uniswap-v2,6
WETH-Ringo,uniswap-v2,77
WETH-0xd8f...90ed,uniswap-v2,130
WETH-0xd4a...7b51,uniswap-v2,88
$YKZ-WETH,uniswap-v2,59
0xb62...4fcf-WETH,uniswap-v2,231
WETH-R1,uniswap-v2,8
PARTY-WETH,uniswap-v2,75
0x573...e5e7-WETH,uniswap-v2,8
CLOD-TREAT 10000 200  UNI-V4 LP,uniswap-v4,6
AICN-WETH,uniswap-v2,221
WETH-UFO,uniswap-v2,21
USDC-BabyDoge 10000 200 UNI-V3 LP,uniswap-v3,48
USDC-stETH,sushiswap,8
DENT-VITA 3000 60 UNI-V3 LP,uniswap-v3,6
KIZUNA-TREAT 10000 200  UNI-V4 LP,uniswap-v4,58
