POOL_NAME,PLATFORM,COUNT(TX_HASH)
WETH-0xca0...afb0,uniswap-v2,1221
WETH-BORPA,uniswap-v2,1716
WETH-TOKENWATCH 10000 200 UNI-V3 LP,uniswap-v3,4
ZURR-WETH 10000 200 UNI-V3 LP,uniswap-v3,72
PEPELON-WETH,uniswap-v2,39
DINGO-WETH,uniswap-v2,793
WETH-XEND,uniswap-v2,58
WBTC-USDT 3000 60  UNI-V4 LP,uniswap-v4,26991
Dogenes-WETH,uniswap-v2,19
WETH-SPONGE,dodo-v2,173
WETH-WETARD,uniswap-v2,231
BANK-WETH 3000 60 UNI-V3 LP,uniswap-v3,284
WETH-NADA,uniswap-v2,10
WETH-HURRICANE,uniswap-v2,1213
WETH-QTC,uniswap-v2,1691
HYPERBOLIC-WETH,uniswap-v2,547
WETH-ENGN,uniswap-v2,31
BITCONNECT-WETH,uniswap-v2,6
GoldenUSA-WETH,uniswap-v2,486
WDCN-WETH 10000 200 UNI-V3 LP,uniswap-v3,3
BRODIE-WETH,uniswap-v2,22
SSE-WETH,uniswap-v2,120
Instagram-WETH,uniswap-v2,2
HCAT-WETH,uniswap-v2,7
Saul-WETH,uniswap-v2,11
ФНФ МОД мем из 2026-WETH,uniswap-v2,1
GODS-KABOSU,uniswap-v2,78
USDC-TRESTLE 10000 200 UNI-V3 LP,uniswap-v3,92
GPUSSY-WETH,uniswap-v2,3
TOWER-SUPER,uniswap-v2,15
DGLD-WETH,uniswap-v2,3
WETH-ELONGATE,uniswap-v2,37
WETH-LION,uniswap-v2,19
MBSC-USDC,uniswap-v2,29
TEB-WETH,uniswap-v2,170
fpBEANZ-WETH 10000 200 UNI-V3 LP,uniswap-v3,37
0x666...3666-WETH,uniswap-v2,312
0x528...c786-WETH,uniswap-v2,7
WETH-JAIL,uniswap-v2,251
TSTAI-WETH,uniswap-v2,47
🐐-WETH,uniswap-v2,2
AKRO-KABOSU,uniswap-v2,83
NEXORA-WETH,uniswap-v2,10
DEMON-WETH,uniswap-v2,12
WETH-KAMAHA,uniswap-v2,13
MoonDragon-WETH,uniswap-v2,6
WETH-0xdd4...36ba,uniswap-v2,22
TOMATO-WETH,uniswap-v2,43
WETH-Rebel,uniswap-v2,11
TROLLZ-WETH,uniswap-v2,255
eUSDe-USDC 113300 2266  UNI-V4 LP,uniswap-v4,6
REDSKULL-WETH,uniswap-v2,250
FONT-WETH,uniswap-v2,12
FAP-WETH,uniswap-v2,315
JACY-WETH,uniswap-v2,60
UTE-WETH,uniswap-v2,1086
SNACKZ-WETH,uniswap-v2,99
ETH-HOT 3000 60  UNI-V4 LP,uniswap-v4,328
VEE-USDT 10000 200  UNI-V4 LP,uniswap-v4,414
ETH-GROW 100 1 0x62ee80f068dce30ea4a275e91bb733fb17fd0ac0 UNI-V4 LP,uniswap-v4,1340
SWCC-USDC 100 1  UNI-V4 LP,uniswap-v4,17
POL-USDC 100 1  UNI-V4 LP,uniswap-v4,114
PGATOR-WETH,uniswap-v2,2
0x2ff...8cac-WETH,uniswap-v2,1
VPEPE-USDC,uniswap-v2,35
BaoUSD-WETH 3000 60 UNI-V3 LP,uniswap-v3,33
0x4db...e7d5-WETH,uniswap-v2,6
SHI-TKP,uniswap-v2,64
0x3b3...b91c-WETH,uniswap-v2,3
GINNAN-WETH 10000 200 UNI-V3 LP,uniswap-v3,6
WETH-yDAI+yUSDC+yUSDT+yTUSD,uniswap-v2,142
0xac9...ef6c-WETH,uniswap-v2,129
0x0cd...45ad-WETH,uniswap-v2,158
0x6df...a664-WETH,uniswap-v2,138
0xacc...a30d-WETH,uniswap-v2,20
LIT-USDT 30000 600  UNI-V4 LP,uniswap-v4,968
0x475...4435-WETH,uniswap-v2,31
RABO-WETH,uniswap-v2,402
NIKKEI1330-WETH,uniswap-v2,1
0x1e8...3edd-WETH,uniswap-v2,1163
0x20f...3bd0-WETH,uniswap-v2,119
0x20e...54eb-WETH,uniswap-v2,102
USDC-LAKE 3000 60 UNI-V3 LP,uniswap-v3,36
Brandy-WETH,uniswap-v2,74
GRASS-WETH 3000 60 UNI-V3 LP,uniswap-v3,2
GOONC-WETH 10000 200 UNI-V3 LP,uniswap-v3,65
VIRTUAL-USDC 3000 60 UNI-V3 LP,uniswap-v3,15
L2-WETH 3000 60 UNI-V3 LP,uniswap-v3,73
WETH-SEC,uniswap-v2,60
ACR-USDC,uniswap-v2,171
WETH-CRITTER,uniswap-v2,269
TK-WETH,uniswap-v2,11
CTAIO-USDT 100 1  UNI-V4 LP,uniswap-v4,185
MechKenna-WETH,uniswap-v2,1467
CHATO-WETH,uniswap-v2,26
0xbf0...e26f-WETH,uniswap-v2,21
WETH-DE,uniswap-v2,6038
TRAVEL-WETH,uniswap-v2,17
DTOSHI-WETH,uniswap-v2,3
BUTTER-WETH,uniswap-v2,57
WETH-Xine,uniswap-v2,58
USDC-HILO,uniswap-v2,8
PRQ-WETH 3000 60 UNI-V3 LP,uniswap-v3,15
HAY2.0-WETH,uniswap-v2,9
WETH-MYOBU,uniswap-v2,21
DARE-WETH,uniswap-v2,26
WETH-Inari,uniswap-v2,1
WETH-PEPE23,uniswap-v2,4
EOM-WETH,uniswap-v2,127
WETH-$ELONX,uniswap-v2,60
WETH-WALTER,uniswap-v2,64
PEPSE-WETH,uniswap-v2,152
USDT-rats 10000 200 UNI-V3 LP,uniswap-v3,7
STRK-WETH,hashflow-v3,14
BAYC-EARN 10000 200 UNI-V3 LP,uniswap-v3,9
WETH-0xf1c...dc69,uniswap-v2,6
WETH-CHEET,uniswap-v2,40
CHDR-WETH,uniswap-v2,9
NFTS-WETH,uniswap-v2,60
WETH-LUMIA SaucerSwap,uniswap-v2,1
0x4c4...37ff-WETH,uniswap-v2,144
0xbb8...d91a-WETH,uniswap-v2,79
0x710...8395-WETH,uniswap-v2,9
0x260...d469-WETH,uniswap-v2,21
WETH-LOAN,uniswap-v2,3
ETHEREUMY-WETH,uniswap-v2,8
SATOSHI50-WETH,uniswap-v2,1204
USDC-SPA 10000 200  UNI-V4 LP,uniswap-v4,51
WETH-ZDEX,dodo-v2,7
WETH-AFE,uniswap-v2,515
Kamunism-WETH,uniswap-v2,12
0x130...c860-WETH,uniswap-v2,5
DGEM-WETH,uniswap-v2,603
MICROTOK-WETH,uniswap-v2,467
Gyroscope ECLP ynETH/wstETH,balancer,25
WETH-DONALDIO,uniswap-v2,9
XFUND-WETH,uniswap-v2,1
BTU-WETH 10000 200 UNI-V3 LP,uniswap-v3,79
PepeX-PEPE,uniswap-v2,11
BUKELE-WETH,uniswap-v2,3
BARRON-WETH 3000 60 UNI-V3 LP,uniswap-v3,53
0x57f...aec0-WETH,uniswap-v2,320
SHAQTUAH-WETH,uniswap-v2,1
China-WETH,uniswap-v2,150
Pero -WETH,uniswap-v2,2
WETH-PRMX,uniswap-v2,3
PAYPAL-WETH,uniswap-v2,4
$GARBAGE-USDC,uniswap-v2,41
UQC-USDT,uniswap-v2,44
WETH-KM,uniswap-v2,532
0x894...d099-WETH,uniswap-v2,401
0x613...fbb1-WETH,uniswap-v2,873
0x7d5...b96f-WETH,uniswap-v2,94
WETH-GTAVI,uniswap-v2,22
WETH-BOOBA,uniswap-v2,4
WETH-wTEKOMON 10000 200 UNI-V3 LP,uniswap-v3,3
TEMPUS-WETH,uniswap-v2,420
TURBO-USDT,hashflow-v3,82
WETH-AI71,uniswap-v2,12
CHLOE-WETH,uniswap-v2,7
WETH-pufETH,uniswap-v2,79
WETH-IRINA,uniswap-v2,122
SHKG-WETH,uniswap-v2,4
VORTEX-WETH,uniswap-v2,335
WETH-COWBOYRAT,uniswap-v2,24
CLEANAIR-WETH,uniswap-v2,236
SAIBO-USDT 3000 60 UNI-V3 LP,uniswap-v3,22
0x338...bb1b-WETH,uniswap-v2,11
SB-WETH 10000 200 UNI-V3 LP,uniswap-v3,10
WETH-0xfd9...d150,uniswap-v2,4
USDT-WABBC,shibaswap,9
AIRx-WETH,uniswap-v2,14
TNY-COMP,uniswap-v2,12
BEARDY-ARKY 3000 60 UNI-V3 LP,uniswap-v3,8
XIOT-USDC,uniswap-v2,2
WETH-0xebc...16ac,uniswap-v2,10
PLD-PP,uniswap-v2,5
WETH-BIBI,uniswap-v2,106
NTP-WETH,uniswap-v2,20
PIC-WETH,uniswap-v2,8
WETH-SG,uniswap-v2,24
CHECK-WETH,uniswap-v2,9
MEGE-WETH,uniswap-v2,7
BOBEI-WETH,uniswap-v2,14
WBTC-ctWBTC 143100 2862  UNI-V4 LP,uniswap-v4,4
WETH-VEMP,shibaswap,79
CCDAO-SIMP 10000 200 UNI-V3 LP,uniswap-v3,4
WETH-HZM,uniswap-v2,9
ETH-MEME 10000 200  UNI-V4 LP,uniswap-v4,211
USD-KABOSU,uniswap-v2,22
WETH-AIJ 3000 60 UNI-V3 LP,uniswap-v3,48
LEND-DZAR,uniswap-v2,2
0xa64...90af-WETH,uniswap-v2,1
RFD-WETH,uniswap-v2,26
BAND-KABOSU,uniswap-v2,66
$SHIBPEPE-WETH,uniswap-v2,2
META-WETH,uniswap-v2,350
GANDOGE-WETH,uniswap-v2,5
YANA-WETH,uniswap-v2,633
CNH-WETH,uniswap-v2,2
WETH-FEPE,uniswap-v2,16
CITIZEN-WETH,uniswap-v2,25
WETH-OPEPENAI,uniswap-v2,4
WETH-SKDN,uniswap-v2,47
ᖇEᗪᕼᑕ-WETH,uniswap-v2,7
APE2-USDC,uniswap-v2,2
EIGEN-USDC,woofi,3
WETH-BOBTAIL,uniswap-v2,1
WETH-0xf0a...d93a,uniswap-v2,6
WETH-ETHGRK,uniswap-v2,76
HAKKA-CORE,uniswap-v2,2
DeYFI-WETH,uniswap-v2,2
ETHDUCK-WETH,uniswap-v2,6
PUMLx-WETH,uniswap-v2,6
0x4f9...38b6-WETH,uniswap-v2,516
WETH-0xd73...5d5f,uniswap-v2,321
WETH-ENI 3000 60 UNI-V3 LP,uniswap-v3,5
MCH-USDT 10000 200 UNI-V3 LP,uniswap-v3,37
hope-TREAT 10000 200  UNI-V4 LP,uniswap-v4,88
WETH-TATsu,uniswap-v2,6
ETH-XDCE 400000 8000  UNI-V4 LP,uniswap-v4,17
COROPE-WETH,uniswap-v2,37
USDC-BOOBS,uniswap-v2,1
MNY-WETH,uniswap-v2,3
TSC-USDT,shibaswap,1
SNS-WETH,shibaswap,1
SLING-WETH,shibaswap,3
OGAI-WETH,uniswap-v2,12
MNT-WETH,uniswap-v2,4
renDOGE-DOGEREUM,sushiswap,4
WBTC-renDOGE,sushiswap,7
WETH-MOOBULLKIN,uniswap-v2,682
0x220...e394-WETH,uniswap-v2,5
QIXI-WETH,uniswap-v2,4
GLORY-WETH,uniswap-v2,7
VEC-WETH,uniswap-v2,22
WETH-BUSS,uniswap-v2,3
WETH-pONT,sushiswap,16
BAC-SAN,uniswap-v2,16
🦜PIROTS-WETH,uniswap-v2,14
Ascend-TBTC,uniswap-v2,4
HIFI-USDT 200000 4000  UNI-V4 LP,uniswap-v4,5
WETH-eUSDC-2,dodo-v2,1
ETH-GALA 400000 8000  UNI-V4 LP,uniswap-v4,10
SKYRIM-WETH,sushiswap,17
SIGN-WETH 100 1 UNI-V3 LP,uniswap-v3,47
FREELUIGI-WETH,uniswap-v2,1898
CR-R-WETH,uniswap-v2,1
PEIPEI-USDT,hashflow-v3,17
WETH-LMAI,uniswap-v2,518
INUMINATI-WETH,uniswap-v2,2
WAIT-HEX 10000 200 UNI-V3 LP,uniswap-v3,12
WETH-EG,uniswap-v2,18
EYEBALLS-WETH,uniswap-v2,502
BRCBOT-WETH,uniswap-v2,13
WETH-Bitcoin,uniswap-v2,2
REACT-WETH,dodo-v2,97
0xabb...fe68-WETH,uniswap-v2,6
0x5f8...d377-WETH,uniswap-v2,6
TESTRED-WETH 10000 200 UNI-V3 LP,uniswap-v3,4
0x5f6...36b8-WETH,uniswap-v2,4
0xb79...cbca-WETH,uniswap-v2,1
THX-WETH,uniswap-v2,5
WETH-0xd9f...3e77,uniswap-v2,31
0xbec...50af-WETH,uniswap-v2,2
ELON BALLZ-WETH,uniswap-v2,35
WETH-PEPAI,uniswap-v2,4
WETH-VIRGIL,uniswap-v2,55
WETH-0xe50...9ef1,uniswap-v2,30
BF8-WETH,uniswap-v2,4
TRISM-WETH 10000 200 UNI-V3 LP,uniswap-v3,16
WETH-0xc78...26a1,uniswap-v2,6
PORN-WETH,uniswap-v2,3
0xb03...45c1-WETH,uniswap-v2,4
A-WETH,uniswap-v2,8
Usdt-WETH,uniswap-v2,1
0x3ee...f94f-WETH,uniswap-v2,5
TUPID-WETH,uniswap-v2,288
0x97f...aa64-WETH,uniswap-v2,6
0x003...61f6-WETH,uniswap-v2,2
$WDOG-WETH,uniswap-v2,6
PHONON-WETH 10000 200 UNI-V3 LP,uniswap-v3,7
ZLW-USDT,uniswap-v2,4
0x29e...cb93-WETH,uniswap-v2,5
WETH-Cheemstos,uniswap-v2,8014
Agem-SHIB,uniswap-v2,21
AiDragon-WETH,uniswap-v2,3
NOAHP-WETH,uniswap-v2,13
0xab1...c9a1-WETH,pancakeswap-v2,2
MORE-WETH,uniswap-v2,7
SLV-WETH,pancakeswap-v2,2
DIAMND-WETH,uniswap-v2,9
WETH-ReDefi,uniswap-v2,6
ABDLP-WETH,uniswap-v2,6
SRN-WETH,uniswap-v2,19
WETH-0xc2e...80ec,sushiswap,12
SAGEAI-WETH,uniswap-v2,74
EPT-SPT,uniswap-v2,46
WETH-DEXTER,uniswap-v2,15
0x04f...d7bc-WETH,uniswap-v2,43
FRACASTER-WETH,uniswap-v2,23
MEIMEI-WETH,uniswap-v2,16
WETH-0xe29...5238,uniswap-v2,49
WETH-SECUREUM,uniswap-v2,8
0x654...3678-WETH,uniswap-v2,23
Megabot-WETH,uniswap-v2,12
0x9b6...1bbe-WETH,uniswap-v2,14
0x6ff...516c-WETH,uniswap-v2,3
ELFI-WETH 10000 200 UNI-V3 LP,uniswap-v3,19
MAGAX-WETH,uniswap-v2,4
BedRock-WETH,uniswap-v2,1
WETH-NAOMI,uniswap-v2,172
GOLDTRUMP-WETH,uniswap-v2,45
WETH-ROAD,uniswap-v2,5
PMON-WETH,sushiswap,17
DAI-zLOT,uniswap-v2,4
YxA-WETH,uniswap-v2,298
ARGOS-WETH,uniswap-v2,12
$ETHOBER-WETH,uniswap-v2,1
STRIDR-WETH,uniswap-v2,6
ZuckDICK-WETH,uniswap-v2,2
0x0b0...d5a5-WETH,uniswap-v2,6
WETH-GIRAFFE 10000 200 UNI-V3 LP,uniswap-v3,83
SDL-WETH 10000 200 UNI-V3 LP,uniswap-v3,21
Babygirl-WETH,uniswap-v2,5
WETH-SUTETORESU,uniswap-v2,1
WETH-LBlock,dodo-v2,7
GRINGO-WETH,uniswap-v2,5
ANTIJEET-WETH,uniswap-v2,2
DOPAMINE-WETH,uniswap-v2,255
WETH-0xd63...4f9d,uniswap-v2,6
SHIABCDEFGHIJKLMNOPQRSTUVWXYZ-WETH,uniswap-v2,1
WETH-SYDNEY,uniswap-v2,2
XOLO-USDT 10000 200 UNI-V3 LP,uniswap-v3,6
0x610...3545-EURS,uniswap-v2,2
WETH-DCAT ,uniswap-v2,3
WETH-0xe5b...e78b,uniswap-v2,31
PEPOLA-WETH,uniswap-v2,2
0x460...cef2-WETH,uniswap-v2,16
0x069...737f-WETH,uniswap-v2,576
WETH-0xea8...6641,uniswap-v2,169
$GOOGLE6900-WETH,uniswap-v2,8
0x285...84d0-WETH 3000 60 UNI-V3 LP,uniswap-v3,10
0x8dc...fc49-WETH,uniswap-v2,24
0x359...3d36-WETH,uniswap-v2,51
TUNE-WETH,uniswap-v2,20
WETH-SHIBITER,uniswap-v2,3
Maths-WETH,uniswap-v2,4
WETH-CYSHI,uniswap-v2,1
WETH-GIFT,uniswap-v2,119
0x744...445f-WETH,uniswap-v2,9
0x8e3...c650-WETH,uniswap-v2,4
SKULLY-WETH,uniswap-v2,3
Cake-USDT,hashflow-v3,5
ETH-UNI 3000 60 0x4440854b2d02c57a0dc5c58b7a884562d875c0c4 UNI-V4 LP,uniswap-v4,4
0xa75...8017-WETH,uniswap-v2,101
Miledi-WETH,uniswap-v2,119
WETH-PEPEMAN,uniswap-v2,4
GBT-WETH,pancakeswap-v2,5
WETH-SHION,uniswap-v2,8
WETH-CONE,uniswap-v2,74
WETH-BITBUCKET,uniswap-v2,29
DEEPTRUMP-WETH,uniswap-v2,118
GOLIATH-WETH,uniswap-v2,8
WETH-LQNTY,uniswap-v2,9
ADL-WETH,uniswap-v2,2
DAI-DAI,uniswap-v2,7
WETH-0xd3e...fa2a,uniswap-v2,1
AMBER-WETH,uniswap-v2,34
WETH-0xca0...e72d,uniswap-v2,4
WETH-0xfc2...9e9e,uniswap-v2,100
WETH-SHIFU,uniswap-v2,50
WETH-PENALDO,uniswap-v2,3
$SEPTEMBER-WETH,uniswap-v2,3
BMIA-WETH,uniswap-v2,67
WETH-Cockcoin,uniswap-v2,26
BLOTIX-SAFEMONEY 100 1  UNI-V4 LP,uniswap-v4,22
XAUt-Gold 100 1 PCS-V3 LP,pancakeswap-v3,47
CBG-WETH,uniswap-v2,4
PHANTOM-WETH,uniswap-v2,52
0x281...c144-WETH,uniswap-v2,4
0x27c...2640-WETH,uniswap-v2,4
DAI-EGG,uniswap-v2,3
WETH-$BBH,uniswap-v2,6
0x89f...a886-WETH,uniswap-v2,145
0x2a4...7cb8-WETH,uniswap-v2,20
WETH-ETFOMO,uniswap-v2,1
BSENSEI-WETH,uniswap-v2,11
ERDOGAN-WETH,uniswap-v2,1
Aligned-WETH,uniswap-v2,1
WETH-MES,uniswap-v2,360
μBEANZ-WETH 3000 60 UNI-V3 LP,uniswap-v3,2
PSHP-WETH,uniswap-v2,4
RYC-WETH 3000 60 UNI-V3 LP,uniswap-v3,3
0x873...5626-WETH,uniswap-v2,5
SAFY-WETH,uniswap-v2,4
SOON-WETH 10000 200 UNI-V3 LP,uniswap-v3,1
USDC-PRML,uniswap-v2,12
0x4f1...aad7-WETH,uniswap-v2,2
MOVE-WETH 3000 60 UNI-V3 LP,uniswap-v3,19
GOLE-WETH 10000 200 UNI-V3 LP,uniswap-v3,4
WETH-ERC223,sushiswap,6
WETH-FLOKI,dodo-v2,1
GOOSEI-WETH,uniswap-v2,1
WCSOV-WETH,uniswap-v2,21
WETH-0xcff...558b,uniswap-v2,3
FYI-WETH,uniswap-v2,30
MEEKOO-WETH,uniswap-v2,6
WETH-Bouba and Kiki,uniswap-v2,1
BTSE-WETH,sushiswap,2
MELLO-WETH,uniswap-v2,3
GRO-USDT,pancakeswap-v2,23
WETH-0xe8d...5bd3,uniswap-v2,1
FUNK-WETH,uniswap-v2,2
JEFFREY-WETH,uniswap-v2,5
WETH-SHIBELON,uniswap-v2,5
WETH-Bleb,uniswap-v2,2
0x3be...ae74-WETH,uniswap-v2,5
ETH-TERM 550000 11000  UNI-V4 LP,uniswap-v4,140
0x6e6...0ce3-WETH,uniswap-v2,5
WETH-PEPORO,uniswap-v2,12
CUCKS-WETH,uniswap-v2,3
0x21c...33af-WETH,uniswap-v2,5
SHTZU-WETH,uniswap-v2,2
HUSKY INU-WETH,uniswap-v2,1
WETH-AMOG,uniswap-v2,6
0x06f...845a-WETH,uniswap-v2,5
0xbfe...898d-WETH,uniswap-v2,6
WETH-Privacy,uniswap-v2,38
0xad4...6115-WETH,uniswap-v2,6
LABARC-WETH,uniswap-v2,440
jUSD-USDC 3000 60  UNI-V4 LP,uniswap-v4,1
MOLLY-WETH 3000 60 UNI-V3 LP,uniswap-v3,2
WETH-SEEK,uniswap-v2,139
WETH-DEDX,uniswap-v2,3
BSJ-USDC,uniswap-v2,27
BAN-WETH,uniswap-v2,17
Choice-WETH 3000 60 UNI-V3 LP,uniswap-v3,2
BTCBAY-USDC,sushiswap,8
WETH-0xdff...647d,uniswap-v2,4
WETH-BLACKGROK,uniswap-v2,3
WETH-KETAI,uniswap-v2,2
0xa86...6cc0-WETH,uniswap-v2,4
GOLANG-USDC 3000 60  UNI-V4 LP,uniswap-v4,3
BOGGOS-WETH,uniswap-v2,756
WETH-MAN,uniswap-v2,5
ETH-QXT 3000 60  UNI-V4 LP,uniswap-v4,20
USDT-USDT 37880 758  UNI-V4 LP,uniswap-v4,15
USDC-USDT 600000 12000  UNI-V4 LP,uniswap-v4,1
cvxCRV-USDT,sushiswap,1
WETH-OOZELUG,uniswap-v2,8
0x0a1...50ea-WETH,uniswap-v2,6
MOVEMENT-WETH,uniswap-v2,2
SAFE -WETH,uniswap-v2,23
RESIST-WETH,uniswap-v2,4
LMT-GMEE,sushiswap,2
ETH-0x5b7...64c3 35000 700  UNI-V4 LP,uniswap-v4,1
MTT-HOPS 3000 60  UNI-V4 LP,uniswap-v4,1
MRBASED-WETH,uniswap-v2,284
Mashallah-WETH,uniswap-v2,178
TFUND-WETH,uniswap-v2,7
BONKLE-WETH,uniswap-v2,33
DFM-WETH,uniswap-v2,7
MYC-WETH,uniswap-v2,2
MYC-WETH,sushiswap,3
STH-WETH,uniswap-v2,3
0x3b1...59f3-USDC 3000 60 UNI-V3 LP,uniswap-v3,2
WETH-0xe4a...98f1,uniswap-v2,8
UBXT-WETH,sushiswap,1
WETH-PBUX,uniswap-v2,1
TRUMPUS-WETH,uniswap-v2,113
WETH-ORD,uniswap-v2,4
0x205...c0db-WETH,uniswap-v2,3
MAI-USDC StablePool,balancer,2
uniBTC-WBTC 5000 100  UNI-V4 LP,uniswap-v4,6
ᗪOGᒪ-WETH,uniswap-v2,2
XHiring-WETH,uniswap-v2,2
Roll-WETH,uniswap-v2,1
GROKUS-WETH,uniswap-v2,3
WETH-FKHYDRA,uniswap-v2,4
HUPE-WETH,uniswap-v2,17
0x944...c010-WETH 3000 60 UNI-V3 LP,uniswap-v3,9
ShibCash-WETH,uniswap-v2,3
IDV-USDT,uniswap-v2,3
wWLFI-WETH 100 1 UNI-V3 LP,uniswap-v3,12
WETH-DUNZI,uniswap-v2,1
CHIKO-WETH,uniswap-v2,1
WETH-🅹🅴🆂🆄🆂,uniswap-v2,14
WETH-PACHA,uniswap-v2,3
USD1-FREEDOM,uniswap-v2,8
MOUSA-WETH,uniswap-v2,57
USDC-eLunr 10000 200 UNI-V3 LP,uniswap-v3,3
CHEFNFT-WETH,uniswap-v2,1423
UNI-NICE,uniswap-v2,1
ETH-UPC 910000 18200  UNI-V4 LP,uniswap-v4,1
TIANLONG-WETH,uniswap-v2,6
ETH-DAT 900000 18000  UNI-V4 LP,uniswap-v4,3
WETH-BUNNYBOOK,uniswap-v2,21
SAFE-Metis 3000 60 UNI-V3 LP,uniswap-v3,7
0x994...070e-WETH,uniswap-v2,1
WETH-SUCK,uniswap-v2,6
ZMN-WETH,uniswap-v2,4
WETH-OHTI,uniswap-v2,1
penguin tariff-WETH,uniswap-v2,37
UNDRESS-WETH,uniswap-v2,21
DEXT-WETH,uniswap-v2,9
MATO-WETH,uniswap-v2,10
WETH-$𝓟𝓔𝓟𝓔,uniswap-v2,2
$ot-WETH,uniswap-v2,3
Jijgan-WETH,uniswap-v2,33
ETH-BOOE 10000 200  UNI-V4 LP,uniswap-v4,164
SHREDDER-WETH,uniswap-v2,1
WETH-JIANKUI,uniswap-v2,291
BPEPE-PEPE,uniswap-v2,5
WETH-PYRO,uniswap-v2,5
50KAI-50wstETH,balancer,6
WETH-USAID,uniswap-v2,278
MUMO-WETH,uniswap-v2,2
0xDead-WETH,uniswap-v2,6
UniETH-WETH,uniswap-v2,3
POZK-WETH,uniswap-v2,2
0x368...e638-WETH,uniswap-v2,7
XRLM-USDT 3000 60  UNI-V4 LP,uniswap-v4,1
ETH-LDV 3000 60  UNI-V4 LP,uniswap-v4,1
GPU4-WETH,uniswap-v2,249
WETH-TRMPFWD 3000 60 UNI-V3 LP,uniswap-v3,8
NEXTSHIB-WETH 100 1 UNI-V3 LP,uniswap-v3,1
WETH-SBAI,uniswap-v2,10
SPC-USDT 3000 60  UNI-V4 LP,uniswap-v4,13
USDT-XIN 3000 60  UNI-V4 LP,uniswap-v4,14
WETH-0xf0f...434d 3000 60 UNI-V3 LP,uniswap-v3,1
WETH-0xe9c...d9ea,uniswap-v2,19
Ukraine-WETH,uniswap-v2,9
BAOS-WETH,uniswap-v2,4
USDT-ROL 500 10 UNI-V3 LP,uniswap-v3,1
DHI-WETH,uniswap-v2,2
0x535...515e-WETH,uniswap-v2,1
TIARA-WETH,uniswap-v2,1
WETH-$CHARMY,uniswap-v2,4
$BIT-WETH,uniswap-v2,3
ETH-KEKIUS2 10000 200  UNI-V4 LP,uniswap-v4,1135
0x72a...802b-WETH,uniswap-v2,3
WETH-CBC 10000 200 UNI-V3 LP,uniswap-v3,1
0xbb8...c4b3-WETH,uniswap-v2,5
🥵NudeELON-WETH,uniswap-v2,27
ETH-QTCON 900000 18000  UNI-V4 LP,uniswap-v4,1
WETH-SNDRN,uniswap-v2,2
ORDIHUB-WETH,uniswap-v2,8
INFN-WETH,uniswap-v2,2
U-WETH,uniswap-v2,11
eRSDL-WETH 500 10 UNI-V3 LP,uniswap-v3,1
WETH-EBN,uniswap-v2,3
BOBTC-WETH,uniswap-v2,1
DOGECLOCK-WETH,uniswap-v2,20
0x719...21a4-WETH,uniswap-v2,3
crane-WETH,uniswap-v2,10
WETH-JRE,uniswap-v2,11
USDC-PYTH 3000 60 UNI-V3 LP,uniswap-v3,57
0x1ef...f0b3-WETH,uniswap-v2,130
ETH-0xe6d...1a23 3000 60  UNI-V4 LP,uniswap-v4,2
WETH-₭ 10000 200 PCS-V3 LP,pancakeswap-v3,3
RATDUCK-WETH,uniswap-v2,1
ECNS-WETH,uniswap-v2,10
nDOGE-WETH,uniswap-v2,13
AUDIO-WETH 3000 60 UNI-V3 LP,uniswap-v3,39
WETH-XKW,uniswap-v2,4
BONE-KISHU,shibaswap,10
WETH-0xf19...fabb,uniswap-v2,6
TACKO-WETH,uniswap-v2,9
0x6b9...fea0-WETH,uniswap-v2,1
mama-WETH,uniswap-v2,43
SWG-WETH,uniswap-v2,6
0x2e5...6853-WETH,uniswap-v2,6
WBTC-Seal,uniswap-v2,13
PUMLx-WETH 3000 60 UNI-V3 LP,uniswap-v3,46
WETH-FUR,uniswap-v2,10
0xa7e...0cc5-WETH,uniswap-v2,2
STARGATEAI-WETH,uniswap-v2,47
MARKCUBAN-WETH,uniswap-v2,4
FRAX-USDT,uniswap-v2,1
J3FF-WETH,uniswap-v2,2
MEKA-WETH,sushiswap,7
NOC-WETH 10000 200 UNI-V3 LP,uniswap-v3,7
USDT-CTH 3000 60  UNI-V4 LP,uniswap-v4,41
KEFIR-WETH,uniswap-v2,2
WETH-0xCoin,uniswap-v2,11
FLUFFY-WETH,uniswap-v2,58
CORGIS-WETH,uniswap-v2,3
uSD-SSJ,uniswap-v2,3
ALIENPEPE-WETH,uniswap-v2,1
HBTT-WETH,uniswap-v2,17
gUPtst-WETH,uniswap-v2,2
COINCH-WETH,uniswap-v2,132
Remittix-WETH,dodo-v2,6
WETH-HOLE,uniswap-v2,1
NEWLD-WETH,uniswap-v2,39
AiNON-WETH,uniswap-v2,1
VENOM-WETH,uniswap-v2,2
WETH-cash,uniswap-v2,15
GLIP-WETH,uniswap-v2,7
WETH-0xf59...7b80,uniswap-v2,98
ETH-0xdd3...d778 40000 800  UNI-V4 LP,uniswap-v4,662
WETH-0xe90...b34d,uniswap-v2,415
0x50a...f2c9-WETH,uniswap-v2,21
USDC-GTC,sushiswap,23
$MSTR2.0-WETH,uniswap-v2,12
Stellar-WETH,uniswap-v2,50
0x167...f356-WETH,uniswap-v2,3
DOOMER-WETH 100 1 UNI-V3 LP,uniswap-v3,2
WETH-0xc1c...aa7f,uniswap-v2,5
0x766...717a-WETH,uniswap-v2,2
