,blockchain,dex,pool,pool_id,date,Spread,swap_count,volume,order_size,pool_type,order_size_bin,volume_bin,Trade_size,trade_size_bin
67,ethereum,curve,TUSD-USDC,0x33baeda08b8afacc4d3d07cf31d49fc1f1f3e893,2023-06-10,32.85,38,8807437.743,115913.3311,Stable Pair,100k–250k,5M–10M,231774.67744736845,200k–300k
68,ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-20,2.92,84,8545803.461,50867.30882,Stable Pair,50k–100k,5M–10M,101735.75548809522,100k–200k
69,ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-06-06,7.26,34,7897138.276,116168.6569,Stable Pair,100k–250k,5M–10M,232268.7728235294,200k–300k
70,ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-13,3.6900000000000004,16,7309594.4,228420.3411,Stable Pair,100k–250k,5M–10M,456849.65,400k–500k
71,ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-08,1.0,31,7063517.68,113933.1853,Stable Pair,100k–250k,5M–10M,227855.40903225806,200k–300k
72,ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-05-19,6.79,13,6998122.068,269249.8948,Stable Pair,250k–1M,5M–10M,538317.0821538462,500k–750k
73,ethereum,curve,DAI-USDC,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-10,0.97,35,6816592.25,97384.07468,Stable Pair,50k–100k,5M–10M,194759.7785714286,100k–200k
74,ethereum,curve,eUSD-USDC,0x880f2fb3704f1875361de6ee59629c6c6497a5e3,2023-06-03,84.61,24,6791152.794,141840.5066,Stable Pair,100k–250k,5M–10M,282964.69974999997,200k–300k
75,ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-05-23,6.21,11,6220249.133,282800.4137,Stable Pair,250k–1M,5M–10M,565477.193909091,500k–750k
76,ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-05-26,7.290000000000001,11,6150439.626,279619.8792,Stable Pair,250k–1M,5M–10M,559130.8750909091,500k–750k
77,ethereum,curve,crvUSD-USDT,0x390f3595bca2df7d23783dfd126427cceb997bf4,2023-06-08,9.370000000000001,35,6005736.296,85801.82038,Stable Pair,50k–100k,5M–10M,171592.4656,100k–200k
78,ethereum,curve,eUSD-USDC,0x880f2fb3704f1875361de6ee59629c6c6497a5e3,2023-05-19,377.8,18,5959617.928,164217.8512,Stable Pair,100k–250k,5M–10M,331089.8848888889,300k–400k
79,ethereum,curve,eUSD-USDC,0x880f2fb3704f1875361de6ee59629c6c6497a5e3,2023-05-19,377.8,18,5959617.928,164217.8512,Stable Pair,100k–250k,5M–10M,331089.8848888889,300k–400k
80,ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-06-02,7.35,27,5910041.041,109479.7431,Stable Pair,100k–250k,5M–10M,218890.40892592593,200k–300k
81,ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-05-15,5.220000000000001,20,5877615.534,146974.8508,Stable Pair,100k–250k,5M–10M,293880.7767,200k–300k
82,ethereum,curve,DAI-USDC,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-05,1.04,17,5686908.246,167269.9116,Stable Pair,100k–250k,5M–10M,334524.01447058824,300k–400k
83,ethereum,curve,TUSD-USDC,0x33baeda08b8afacc4d3d07cf31d49fc1f1f3e893,2023-06-11,45.989999999999995,22,5661889.262,128629.736,Stable Pair,100k–250k,5M–10M,257358.60281818183,200k–300k
84,ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-05-30,7.02,22,5427101.203,123366.7122,Stable Pair,100k–250k,5M–10M,246686.4183181818,200k–300k
85,ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-06-09,7.51,26,5328407.523,102478.1846,Stable Pair,100k–250k,5M–10M,204938.75088461538,200k–300k
86,ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-06-09,7.51,26,5328407.523,102478.1846,Stable Pair,100k–250k,5M–10M,204938.75088461538,200k–300k
87,ethereum,curve,DAI-USDC,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-25,0.9299999999999999,30,5322210.511,88707.7954,Stable Pair,50k–100k,5M–10M,177407.01703333334,100k–200k
88,ethereum,curve,eUSD-USDC,0x880f2fb3704f1875361de6ee59629c6c6497a5e3,2023-05-21,234.42,18,5230847.096,145424.0782,Stable Pair,100k–250k,5M–10M,290602.61644444446,200k–300k
89,ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-06-04,7.8100000000000005,18,5181319.487,143947.6394,Stable Pair,100k–250k,5M–10M,287851.0826111111,200k–300k
90,ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-20,2.55,25,5103780.158,102088.2635,Stable Pair,100k–250k,5M–10M,204151.20632,200k–300k
91,ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-05-12,4.95,12,5008128.758,208722.286,Stable Pair,100k–250k,5M–10M,417344.0631666667,400k–500k
92,ethereum,curve,DAI-USDC,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-06,0.88,30,5003007.601,83387.27228,Stable Pair,50k–100k,5M–10M,166766.92003333333,100k–200k
93,ethereum,curve,DAI-USDC,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-20,1.27,23,4782376.301,103971.6723,Stable Pair,100k–250k,1M–5M,207929.40439130436,200k–300k
94,ethereum,curve,TUSD-USDC,0x33baeda08b8afacc4d3d07cf31d49fc1f1f3e893,2023-06-12,27.400000000000002,18,4779198.631,132813.6118,Stable Pair,100k–250k,1M–5M,265511.0350555556,200k–300k
95,ethereum,curve,crvUSD-USDC,0x4dece678ceceb27446b35c672dc7d61f30bad69e,2023-06-09,1.35,36,4768765.999,66233.15324,Stable Pair,50k–100k,1M–5M,132465.72219444445,100k–200k
96,ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-31,2.85,18,4041165.259,112246.8529,Stable Pair,100k–250k,1M–5M,224509.18105555556,200k–300k
97,ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-19,1.23,26,3836536.59,73782.76203,Stable Pair,50k–100k,1M–5M,147559.09961538462,100k–200k
98,ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-05-17,5.86,15,3836214.407,127911.4399,Stable Pair,100k–250k,1M–5M,255747.62713333333,200k–300k
99,ethereum,curve,eUSD-USDC,0x880f2fb3704f1875361de6ee59629c6c6497a5e3,2023-05-22,155.75,22,3773470.013,85727.59618,Stable Pair,50k–100k,1M–5M,171521.36422727272,100k–200k
100,ethereum,curve,DAI-USDC,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-09,0.9299999999999999,22,3751671.431,85268.79937,Stable Pair,50k–100k,1M–5M,170530.5195909091,100k–200k
101,ethereum,curve,DAI-USDC,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-09,0.9299999999999999,22,3751671.431,85268.79937,Stable Pair,50k–100k,1M–5M,170530.5195909091,100k–200k
102,ethereum,curve,crvUSD-USDC,0x4dece678ceceb27446b35c672dc7d61f30bad69e,2023-05-26,2.16,20,3712614.58,92819.98253,Stable Pair,50k–100k,1M–5M,185630.729,100k–200k
103,ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-06-03,8.01,19,3546367.088,93351.04562,Stable Pair,50k–100k,1M–5M,186650.89936842106,100k–200k
104,ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-03,3.26,13,3537195.633,136053.1802,Stable Pair,100k–250k,1M–5M,272091.9717692308,200k–300k
105,ethereum,curve,eUSD-USDC,0x880f2fb3704f1875361de6ee59629c6c6497a5e3,2023-05-28,61.919999999999995,27,3461439.874,64088.79004,Stable Pair,50k–100k,1M–5M,128201.47681481481,100k–200k
106,ethereum,curve,DAI-USDC,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-11,1.01,12,3442172.383,143430.7735,Stable Pair,100k–250k,1M–5M,286847.69858333335,200k–300k
107,ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-05-22,6.76,15,3346045.45,111574.1708,Stable Pair,100k–250k,1M–5M,223069.69666666668,200k–300k
108,ethereum,curve,crvUSD-USDC,0x4dece678ceceb27446b35c672dc7d61f30bad69e,2023-05-25,6.79,26,3332600.745,64094.23781,Stable Pair,50k–100k,1M–5M,128176.95173076923,100k–200k
109,ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-05-24,6.77,19,3330086.596,87621.8038,Stable Pair,50k–100k,1M–5M,175267.71557894736,100k–200k
110,ethereum,curve,DAI-USDC,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-03,1.03,20,3268371.903,81713.04919,Stable Pair,50k–100k,1M–5M,163418.59515,100k–200k
111,ethereum,curve,LUSD-USDC,0xed279fdd11ca84beef15af5d39bb4d4bee23f0ca,2023-05-17,62.67,11,3159121.739,143121.5087,Stable Pair,100k–250k,1M–5M,287192.88536363636,200k–300k
112,ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-06-07,7.71,28,3149966.104,56264.12788,Stable Pair,50k–100k,1M–5M,112498.78942857143,100k–200k
113,ethereum,curve,eUSD-USDC,0x880f2fb3704f1875361de6ee59629c6c6497a5e3,2023-06-06,177.65,21,3111776.956,73924.45757,Stable Pair,50k–100k,1M–5M,148179.85504761903,100k–200k
114,ethereum,curve,crvUSD-USDP,0xca978a0528116dda3cba9acd3e68bc6191ca53d0,2023-06-12,4.91,12,2972714.194,123883.4054,Stable Pair,100k–250k,1M–5M,247726.18283333335,200k–300k
115,ethereum,curve,DAI-USDC,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-07,0.8200000000000001,20,2839212.276,70983.43524,Stable Pair,50k–100k,1M–5M,141960.6138,100k–200k
116,ethereum,curve,DAI-USDC,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-16,1.06,32,2825310.755,44147.75838,Stable Pair,25k–50k,1M–5M,88290.96109375,50k–100k
117,ethereum,curve,eUSD-USDC,0x880f2fb3704f1875361de6ee59629c6c6497a5e3,2023-06-02,73.63,12,2812308.071,117579.2468,Stable Pair,100k–250k,1M–5M,234359.00591666668,200k–300k
118,ethereum,curve,eUSD-USDC,0x880f2fb3704f1875361de6ee59629c6c6497a5e3,2023-06-02,73.63,12,2812308.071,117579.2468,Stable Pair,100k–250k,1M–5M,234359.00591666668,200k–300k
119,ethereum,curve,eUSD-USDC,0x880f2fb3704f1875361de6ee59629c6c6497a5e3,2023-05-27,35.85,16,2710617.944,84583.9558,Stable Pair,50k–100k,1M–5M,169413.6215,100k–200k
120,ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-06-08,7.76,22,2683212.37,60998.04314,Stable Pair,50k–100k,1M–5M,121964.19863636364,100k–200k
121,ethereum,curve,crvUSD-USDC,0x4dece678ceceb27446b35c672dc7d61f30bad69e,2023-06-02,3.2,13,2606233.592,100238.9317,Stable Pair,100k–250k,1M–5M,200479.5070769231,200k–300k
122,ethereum,curve,crvUSD-USDC,0x4dece678ceceb27446b35c672dc7d61f30bad69e,2023-06-06,2.71,29,2559734.778,44134.11667,Stable Pair,25k–50k,1M–5M,88266.71648275862,50k–100k
123,ethereum,curve,eUSD-USDC,0x880f2fb3704f1875361de6ee59629c6c6497a5e3,2023-05-26,101.88999999999999,18,2547431.454,70834.1638,Stable Pair,50k–100k,1M–5M,141523.96966666667,100k–200k
124,ethereum,curve,DAI-USDC,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-31,0.9400000000000001,30,2497067.115,41619.82099,Stable Pair,25k–50k,1M–5M,83235.5705,50k–100k
125,ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-06-11,7.430000000000001,24,2459398.521,51248.26201,Stable Pair,50k–100k,1M–5M,102474.93837500001,100k–200k
126,ethereum,curve,crvUSD-USDC,0x4dece678ceceb27446b35c672dc7d61f30bad69e,2023-05-31,4.83,20,2380396.28,59514.97457,Stable Pair,50k–100k,1M–5M,119019.81399999998,100k–200k
127,ethereum,curve,crvUSD-USDT,0x390f3595bca2df7d23783dfd126427cceb997bf4,2023-06-05,2.23,40,2334015.552,29175.37889,Stable Pair,25k–50k,1M–5M,58350.3888,50k–100k
