blockchain,dex,pool,pool_id,date,Spread,swap_count,volume,order_size,pool_type
ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-26 0:00,0.0075,19,8859183.858,233155.1314,Stable Pair
ethereum,curve,TUSD-USDC,0x33baeda08b8afacc4d3d07cf31d49fc1f1f3e893,2023-06-10 0:00,0.3285,38,8807437.743,115913.3311,Stable Pair
ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-20 0:00,0.0292,84,8545803.461,50867.30882,Stable Pair
ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-06-06 0:00,0.0726,34,7897138.276,116168.6569,Stable Pair
ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-13 0:00,0.0369,16,7309594.4,228420.3411,Stable Pair
ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-08 0:00,0.01,31,7063517.68,113933.1853,Stable Pair
ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-05-19 0:00,0.0679,13,6998122.068,269249.8948,Stable Pair
ethereum,curve,DAI-USDC,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-10 0:00,0.0097,35,6816592.25,97384.07468,Stable Pair
ethereum,curve,eUSD-USDC,0x880f2fb3704f1875361de6ee59629c6c6497a5e3,2023-06-03 0:00,0.8461,24,6791152.794,141840.5066,Stable Pair
ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-05-23 0:00,0.0621,11,6220249.133,282800.4137,Stable Pair
ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-05-26 0:00,0.0729,11,6150439.626,279619.8792,Stable Pair
ethereum,curve,crvUSD-USDT,0x390f3595bca2df7d23783dfd126427cceb997bf4,2023-06-08 0:00,0.0937,35,6005736.296,85801.82038,Stable Pair
ethereum,curve,eUSD-USDC,0x880f2fb3704f1875361de6ee59629c6c6497a5e3,2023-05-19 0:00,3.778,18,5959617.928,164217.8512,Stable Pair
ethereum,curve,eUSD-USDC,0x880f2fb3704f1875361de6ee59629c6c6497a5e3,2023-05-19 0:00,3.778,18,5959617.928,164217.8512,Stable Pair
ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-06-02 0:00,0.0735,27,5910041.041,109479.7431,Stable Pair
ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-05-15 0:00,0.0522,20,5877615.534,146974.8508,Stable Pair
ethereum,curve,DAI-USDC,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-05 0:00,0.0104,17,5686908.246,167269.9116,Stable Pair
ethereum,curve,TUSD-USDC,0x33baeda08b8afacc4d3d07cf31d49fc1f1f3e893,2023-06-11 0:00,0.4599,22,5661889.262,128629.736,Stable Pair
ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-05-30 0:00,0.0702,22,5427101.203,123366.7122,Stable Pair
ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-06-09 0:00,0.0751,26,5328407.523,102478.1846,Stable Pair
ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-06-09 0:00,0.0751,26,5328407.523,102478.1846,Stable Pair
ethereum,curve,DAI-USDC,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-25 0:00,0.0093,30,5322210.511,88707.7954,Stable Pair
ethereum,curve,eUSD-USDC,0x880f2fb3704f1875361de6ee59629c6c6497a5e3,2023-05-21 0:00,2.3442,18,5230847.096,145424.0782,Stable Pair
ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-06-04 0:00,0.0781,18,5181319.487,143947.6394,Stable Pair
ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-20 0:00,0.0255,25,5103780.158,102088.2635,Stable Pair
ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-05-12 0:00,0.0495,12,5008128.758,208722.286,Stable Pair
ethereum,curve,DAI-USDC,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-06 0:00,0.0088,30,5003007.601,83387.27228,Stable Pair
ethereum,curve,DAI-USDC,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-20 0:00,0.0127,23,4782376.301,103971.6723,Stable Pair
ethereum,curve,TUSD-USDC,0x33baeda08b8afacc4d3d07cf31d49fc1f1f3e893,2023-06-12 0:00,0.274,18,4779198.631,132813.6118,Stable Pair
ethereum,curve,crvUSD-USDC,0x4dece678ceceb27446b35c672dc7d61f30bad69e,2023-06-09 0:00,0.0135,36,4768765.999,66233.15324,Stable Pair
ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-31 0:00,0.0285,18,4041165.259,112246.8529,Stable Pair
ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-19 0:00,0.0123,26,3836536.59,73782.76203,Stable Pair
ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-05-17 0:00,0.0586,15,3836214.407,127911.4399,Stable Pair
ethereum,curve,eUSD-USDC,0x880f2fb3704f1875361de6ee59629c6c6497a5e3,2023-05-22 0:00,1.5575,22,3773470.013,85727.59618,Stable Pair
ethereum,curve,DAI-USDC,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-09 0:00,0.0093,22,3751671.431,85268.79937,Stable Pair
ethereum,curve,DAI-USDC,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-09 0:00,0.0093,22,3751671.431,85268.79937,Stable Pair
ethereum,curve,crvUSD-USDC,0x4dece678ceceb27446b35c672dc7d61f30bad69e,2023-05-26 0:00,0.0216,20,3712614.58,92819.98253,Stable Pair
ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-06-03 0:00,0.0801,19,3546367.088,93351.04562,Stable Pair
ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-03 0:00,0.0326,13,3537195.633,136053.1802,Stable Pair
